Time,UserID,User full name,Affected user,Event context,Component,Event name,Description
"4/01/21, 22:04",50,anonfirstname48 anonlastname48,-,Course: Introduction to Learning Analytics 2020/2021,System,Course viewed,The user with id '50' viewed the course with id '6'.
"4/01/21, 20:40",70,anonfirstname68 anonlastname68,anonfirstname68 anonlastname68,Course: Introduction to Learning Analytics 2020/2021,System,Course user report viewed,The user with id '70' viewed the user report for the course with id '6' for user with id '70'.
"4/01/21, 20:38",61,anonfirstname59 anonlastname59,anonfirstname59 anonlastname59,Course: Introduction to Learning Analytics 2020/2021,User report,Grade user report viewed,The user with id '61' viewed the user report in the gradebook.
"4/01/21, 20:38",61,anonfirstname59 anonlastname59,-,Course: Introduction to Learning Analytics 2020/2021,System,Course viewed,The user with id '61' viewed the course with id '6'.
"4/01/21, 19:11",66,anonfirstname64 anonlastname64,anonfirstname64 anonlastname64,Course: Introduction to Learning Analytics 2020/2021,User report,Grade user report viewed,The user with id '66' viewed the user report in the gradebook.
"4/01/21, 19:10",66,anonfirstname64 anonlastname64,-,Course: Introduction to Learning Analytics 2020/2021,System,Course viewed,The user with id '66' viewed the course with id '6'.
"4/01/21, 19:10",66,anonfirstname64 anonlastname64,-,Course: Introduction to Learning Analytics 2020/2021,System,Course viewed,The user with id '66' viewed the course with id '6'.
"4/01/21, 19:10",66,anonfirstname64 anonlastname64,-,Quiz: E-exam,Quiz,Course module viewed,The user with id '66' viewed the 'quiz' activity with course module id '212'.
"4/01/21, 19:10",66,anonfirstname64 anonlastname64,-,Quiz: E-exam,Quiz,Course module viewed,The user with id '66' viewed the 'quiz' activity with course module id '212'.
"4/01/21, 19:09",66,anonfirstname64 anonlastname64,-,Course: Introduction to Learning Analytics 2020/2021,System,Course viewed,The user with id '66' viewed the course with id '6'.
"4/01/21, 19:09",66,anonfirstname64 anonlastname64,anonfirstname64 anonlastname64,"Assignment: Assignment 2: Descriptives, Missing Data, Outliers",Assignment,Feedback viewed,The user with id '66' viewed the feedback for the user with id '66' for the assignment with course module id '136'.
"4/01/21, 19:09",66,anonfirstname64 anonlastname64,-,"Assignment: Assignment 2: Descriptives, Missing Data, Outliers",Assignment,The status of the submission has been viewed.,The user with id '66' has viewed the submission status page for the assignment with course module id '136'.
"4/01/21, 19:09",66,anonfirstname64 anonlastname64,anonfirstname64 anonlastname64,Assignment: Assignment 3,Assignment,Feedback viewed,The user with id '66' viewed the feedback for the user with id '66' for the assignment with course module id '194'.
"4/01/21, 19:09",66,anonfirstname64 anonlastname64,-,Assignment: Assignment 3,Assignment,The status of the submission has been viewed.,The user with id '66' has viewed the submission status page for the assignment with course module id '194'.
"4/01/21, 19:09",66,anonfirstname64 anonlastname64,-,Course: Introduction to Learning Analytics 2020/2021,Assignment,Course module instance list viewed,The user with id '66' viewed the instance list for the module 'assign' in the course with id '6'.
"4/01/21, 19:08",66,anonfirstname64 anonlastname64,-,Course: Introduction to Learning Analytics 2020/2021,System,Course viewed,The user with id '66' viewed the course with id '6'.
"4/01/21, 19:08",66,anonfirstname64 anonlastname64,-,Assignment: Assignment 4: Revise and Resubmit,Assignment,The status of the submission has been viewed.,The user with id '66' has viewed the submission status page for the assignment with course module id '204'.
"4/01/21, 19:08",66,anonfirstname64 anonlastname64,-,Course: Introduction to Learning Analytics 2020/2021,Assignment,Course module instance list viewed,The user with id '66' viewed the instance list for the module 'assign' in the course with id '6'.
"4/01/21, 19:08",66,anonfirstname64 anonlastname64,-,Course: Introduction to Learning Analytics 2020/2021,System,Course viewed,The user with id '66' viewed the course with id '6'.
"4/01/21, 18:58",10,anonfirstname8 anonlastname8,anonfirstname8 anonlastname8,Course: Introduction to Learning Analytics 2020/2021,User report,Grade user report viewed,The user with id '10' viewed the user report in the gradebook.
"4/01/21, 18:58",10,anonfirstname8 anonlastname8,-,Course: Introduction to Learning Analytics 2020/2021,System,Course viewed,The user with id '10' viewed the course with id '6'.
"4/01/21, 18:50",69,anonfirstname67 anonlastname67,-,Course: Introduction to Learning Analytics 2020/2021,System,Course viewed,The user with id '69' viewed the course with id '6'.
"4/01/21, 18:50",69,anonfirstname67 anonlastname67,-,Quiz: E-exam,Quiz,Course module viewed,The user with id '69' viewed the 'quiz' activity with course module id '212'.
"4/01/21, 18:50",69,anonfirstname67 anonlastname67,-,Course: Introduction to Learning Analytics 2020/2021,System,Course viewed,The user with id '69' viewed the course with id '6'.
"4/01/21, 18:50",69,anonfirstname67 anonlastname67,anonfirstname67 anonlastname67,Course: Introduction to Learning Analytics 2020/2021,User report,Grade user report viewed,The user with id '69' viewed the user report in the gradebook.
"4/01/21, 18:49",69,anonfirstname67 anonlastname67,anonfirstname67 anonlastname67,Course: Introduction to Learning Analytics 2020/2021,User report,Grade user report viewed,The user with id '69' viewed the user report in the gradebook.
"4/01/21, 18:49",69,anonfirstname67 anonlastname67,anonfirstname67 anonlastname67,Course: Introduction to Learning Analytics 2020/2021,Overview report,Grade overview report viewed,The user with id '69' viewed the overview report in the gradebook.
"4/01/21, 18:48",69,anonfirstname67 anonlastname67,-,Course: Introduction to Learning Analytics 2020/2021,System,Course viewed,The user with id '69' viewed the course with id '6'.
"4/01/21, 18:48",69,anonfirstname67 anonlastname67,anonfirstname67 anonlastname67,Course: Introduction to Learning Analytics 2020/2021,Overview report,Grade overview report viewed,The user with id '69' viewed the overview report in the gradebook.
"4/01/21, 18:46",64,anonfirstname62 anonlastname62,-,Course: Introduction to Learning Analytics 2020/2021,System,Course viewed,The user with id '64' viewed the course with id '6'.
"4/01/21, 18:45",64,anonfirstname62 anonlastname62,-,Course: Introduction to Learning Analytics 2020/2021,System,Course viewed,The user with id '64' viewed the course with id '6'.
"4/01/21, 18:45",64,anonfirstname62 anonlastname62,-,Course: Introduction to Learning Analytics 2020/2021,Assignment,Course module instance list viewed,The user with id '64' viewed the instance list for the module 'assign' in the course with id '6'.
"4/01/21, 18:43",64,anonfirstname62 anonlastname62,-,Course: Introduction to Learning Analytics 2020/2021,System,Course viewed,The user with id '64' viewed the course with id '6'.
"4/01/21, 18:43",64,anonfirstname62 anonlastname62,anonfirstname62 anonlastname62,Course: Introduction to Learning Analytics 2020/2021,Overview report,Grade overview report viewed,The user with id '64' viewed the overview report in the gradebook.
"4/01/21, 18:42",64,anonfirstname62 anonlastname62,anonfirstname62 anonlastname62,Course: Introduction to Learning Analytics 2020/2021,Overview report,Grade overview report viewed,The user with id '64' viewed the overview report in the gradebook.
"4/01/21, 18:42",64,anonfirstname62 anonlastname62,anonfirstname62 anonlastname62,Course: Introduction to Learning Analytics 2020/2021,User report,Grade user report viewed,The user with id '64' viewed the user report in the gradebook.
"4/01/21, 18:42",64,anonfirstname62 anonlastname62,-,Course: Introduction to Learning Analytics 2020/2021,System,Course viewed,The user with id '64' viewed the course with id '6'.
"4/01/21, 18:42",64,anonfirstname62 anonlastname62,-,Course: Introduction to Learning Analytics 2020/2021,System,Course viewed,The user with id '64' viewed the course with id '6'.
"4/01/21, 18:42",64,anonfirstname62 anonlastname62,-,Course: Introduction to Learning Analytics 2020/2021,System,Course viewed,The user with id '64' viewed the course with id '6'.
"4/01/21, 18:35",64,anonfirstname62 anonlastname62,-,Course: Introduction to Learning Analytics 2020/2021,System,Course viewed,The user with id '64' viewed the course with id '6'.
"4/01/21, 18:29",64,anonfirstname62 anonlastname62,anonfirstname62 anonlastname62,Course: Introduction to Learning Analytics 2020/2021,User report,Grade user report viewed,The user with id '64' viewed the user report in the gradebook.
"4/01/21, 18:29",64,anonfirstname62 anonlastname62,-,Course: Introduction to Learning Analytics 2020/2021,System,Course viewed,The user with id '64' viewed the course with id '6'.
"4/01/21, 18:29",64,anonfirstname62 anonlastname62,-,Quiz: E-exam,Quiz,Course module viewed,The user with id '64' viewed the 'quiz' activity with course module id '212'.
"4/01/21, 18:29",64,anonfirstname62 anonlastname62,-,Course: Introduction to Learning Analytics 2020/2021,System,Course viewed,The user with id '64' viewed the course with id '6'.
"4/01/21, 18:09",33,anonfirstname31 anonlastname31,anonfirstname31 anonlastname31,Course: Introduction to Learning Analytics 2020/2021,User report,Grade user report viewed,The user with id '33' viewed the user report in the gradebook.
"4/01/21, 18:09",33,anonfirstname31 anonlastname31,-,Course: Introduction to Learning Analytics 2020/2021,System,Course viewed,The user with id '33' viewed the course with id '6'.
"4/01/21, 17:59",10,anonfirstname8 anonlastname8,-,Quiz: E-exam,Quiz,Course module viewed,The user with id '10' viewed the 'quiz' activity with course module id '212'.
"4/01/21, 17:59",10,anonfirstname8 anonlastname8,-,Course: Introduction to Learning Analytics 2020/2021,Quiz,Course module instance list viewed,The user with id '10' viewed the instance list for the module 'quiz' in the course with id '6'.
"4/01/21, 17:59",10,anonfirstname8 anonlastname8,-,Course: Introduction to Learning Analytics 2020/2021,System,Course viewed,The user with id '10' viewed the course with id '6'.
"4/01/21, 17:59",10,anonfirstname8 anonlastname8,anonfirstname8 anonlastname8,Course: Introduction to Learning Analytics 2020/2021,User report,Grade user report viewed,The user with id '10' viewed the user report in the gradebook.
"4/01/21, 17:52",33,anonfirstname31 anonlastname31,anonfirstname31 anonlastname31,Course: Introduction to Learning Analytics 2020/2021,User report,Grade user report viewed,The user with id '33' viewed the user report in the gradebook.
"4/01/21, 17:52",33,anonfirstname31 anonlastname31,anonfirstname31 anonlastname31,Course: Introduction to Learning Analytics 2020/2021,User report,Grade user report viewed,The user with id '33' viewed the user report in the gradebook.
"4/01/21, 17:45",67,anonfirstname65 anonlastname65,anonfirstname65 anonlastname65,Course: Introduction to Learning Analytics 2020/2021,User report,Grade user report viewed,The user with id '67' viewed the user report in the gradebook.
"4/01/21, 17:45",67,anonfirstname65 anonlastname65,-,Course: Introduction to Learning Analytics 2020/2021,System,Course viewed,The user with id '67' viewed the course with id '6'.
"4/01/21, 17:41",55,anonfirstname53 anonlastname53,anonfirstname53 anonlastname53,Course: Introduction to Learning Analytics 2020/2021,User report,Grade user report viewed,The user with id '55' viewed the user report in the gradebook.
"4/01/21, 17:41",55,anonfirstname53 anonlastname53,-,Course: Introduction to Learning Analytics 2020/2021,System,Course viewed,The user with id '55' viewed the course with id '6'.
"4/01/21, 17:41",55,anonfirstname53 anonlastname53,-,Course: Introduction to Learning Analytics 2020/2021,Assignment,Course module instance list viewed,The user with id '55' viewed the instance list for the module 'assign' in the course with id '6'.
"4/01/21, 17:41",55,anonfirstname53 anonlastname53,-,Course: Introduction to Learning Analytics 2020/2021,System,Course viewed,The user with id '55' viewed the course with id '6'.
"4/01/21, 17:41",55,anonfirstname53 anonlastname53,-,Course: Introduction to Learning Analytics 2020/2021,Quiz,Course module instance list viewed,The user with id '55' viewed the instance list for the module 'quiz' in the course with id '6'.
"4/01/21, 17:41",55,anonfirstname53 anonlastname53,-,Course: Introduction to Learning Analytics 2020/2021,System,Course viewed,The user with id '55' viewed the course with id '6'.
"4/01/21, 17:40",55,anonfirstname53 anonlastname53,anonfirstname53 anonlastname53,Course: Introduction to Learning Analytics 2020/2021,User report,Grade user report viewed,The user with id '55' viewed the user report in the gradebook.
"4/01/21, 17:31",51,anonfirstname49 anonlastname49,-,Course: Introduction to Learning Analytics 2020/2021,System,User list viewed,The user with id '51' viewed the list of users in the course with id '6'.
"4/01/21, 17:30",14,anonfirstname12 anonlastname12,-,Course: Introduction to Learning Analytics 2020/2021,System,Course viewed,The user with id '14' viewed the course with id '6'.
"4/01/21, 17:29",14,anonfirstname12 anonlastname12,anonfirstname67 anonlastname67,Course: Introduction to Learning Analytics 2020/2021,User report,Grade user report viewed,The user with id '14' viewed the user report in the gradebook.
"4/01/21, 17:29",51,anonfirstname49 anonlastname49,anonfirstname49 anonlastname49,"Assignment: Assignment 2: Descriptives, Missing Data, Outliers",Assignment,Feedback viewed,The user with id '51' viewed the feedback for the user with id '51' for the assignment with course module id '136'.
"4/01/21, 17:29",51,anonfirstname49 anonlastname49,-,"Assignment: Assignment 2: Descriptives, Missing Data, Outliers",Assignment,The status of the submission has been viewed.,The user with id '51' has viewed the submission status page for the assignment with course module id '136'.
"4/01/21, 17:28",14,anonfirstname12 anonlastname12,anonfirstname56 anonlastname56,Course: Introduction to Learning Analytics 2020/2021,User report,Grade user report viewed,The user with id '14' viewed the user report in the gradebook.
"4/01/21, 17:28",14,anonfirstname12 anonlastname12,anonfirstname66 anonlastname66,Course: Introduction to Learning Analytics 2020/2021,User report,Grade user report viewed,The user with id '14' viewed the user report in the gradebook.
"4/01/21, 17:27",14,anonfirstname12 anonlastname12,anonfirstname12 anonlastname12,Course: Introduction to Learning Analytics 2020/2021,User report,Grade user report viewed,The user with id '14' viewed the user report in the gradebook.
"4/01/21, 17:27",51,anonfirstname49 anonlastname49,anonfirstname49 anonlastname49,Course: Introduction to Learning Analytics 2020/2021,User report,Grade user report viewed,The user with id '51' viewed the user report in the gradebook.
"4/01/21, 17:27",51,anonfirstname49 anonlastname49,-,Course: Introduction to Learning Analytics 2020/2021,System,Course viewed,The user with id '51' viewed the course with id '6'.
"4/01/21, 17:27",14,anonfirstname12 anonlastname12,anonfirstname48 anonlastname48,Course: Introduction to Learning Analytics 2020/2021,User report,Grade user report viewed,The user with id '14' viewed the user report in the gradebook.
"4/01/21, 17:26",14,anonfirstname12 anonlastname12,anonfirstname66 anonlastname66,Course: Introduction to Learning Analytics 2020/2021,User report,Grade user report viewed,The user with id '14' viewed the user report in the gradebook.
"4/01/21, 17:26",14,anonfirstname12 anonlastname12,anonfirstname12 anonlastname12,Course: Introduction to Learning Analytics 2020/2021,User report,Grade user report viewed,The user with id '14' viewed the user report in the gradebook.
"4/01/21, 17:26",14,anonfirstname12 anonlastname12,anonfirstname12 anonlastname12,Course: Introduction to Learning Analytics 2020/2021,Single view,Grade single view report viewed.,The user with id '14' viewed the singleview report in the gradebook.
"4/01/21, 17:25",14,anonfirstname12 anonlastname12,anonfirstname12 anonlastname12,Course: Introduction to Learning Analytics 2020/2021,Single view,Grade single view report viewed.,The user with id '14' viewed the singleview report in the gradebook.
"4/01/21, 17:25",57,anonfirstname55 anonlastname55,anonfirstname55 anonlastname55,Course: Introduction to Learning Analytics 2020/2021,User report,Grade user report viewed,The user with id '57' viewed the user report in the gradebook.
"4/01/21, 17:25",57,anonfirstname55 anonlastname55,-,Course: Introduction to Learning Analytics 2020/2021,System,Course viewed,The user with id '57' viewed the course with id '6'.
"4/01/21, 17:25",14,anonfirstname12 anonlastname12,anonfirstname64 anonlastname64,Course: Introduction to Learning Analytics 2020/2021,User report,Grade user report viewed,The user with id '14' viewed the user report in the gradebook.
"4/01/21, 17:25",14,anonfirstname12 anonlastname12,-,Course: Introduction to Learning Analytics 2020/2021,Grader report,Grader report viewed,The user with id '14' viewed the grader report in the gradebook.
"4/01/21, 17:25",57,anonfirstname55 anonlastname55,anonfirstname55 anonlastname55,"Assignment: Assignment 2: Descriptives, Missing Data, Outliers",Assignment,Feedback viewed,The user with id '57' viewed the feedback for the user with id '57' for the assignment with course module id '136'.
"4/01/21, 17:25",57,anonfirstname55 anonlastname55,-,"Assignment: Assignment 2: Descriptives, Missing Data, Outliers",Assignment,The status of the submission has been viewed.,The user with id '57' has viewed the submission status page for the assignment with course module id '136'.
"4/01/21, 17:24",14,anonfirstname12 anonlastname12,-,Course: Introduction to Learning Analytics 2020/2021,Grader report,Grader report viewed,The user with id '14' viewed the grader report in the gradebook.
"4/01/21, 17:23",14,anonfirstname12 anonlastname12,anonfirstname12 anonlastname12,Course: Introduction to Learning Analytics 2020/2021,Single view,Grade single view report viewed.,The user with id '14' viewed the singleview report in the gradebook.
"4/01/21, 17:23",14,anonfirstname12 anonlastname12,-,Course: Introduction to Learning Analytics 2020/2021,Grader report,Grader report viewed,The user with id '14' viewed the grader report in the gradebook.
"4/01/21, 17:23",14,anonfirstname12 anonlastname12,-,Course: Introduction to Learning Analytics 2020/2021,Grader report,Grader report viewed,The user with id '14' viewed the grader report in the gradebook.
"4/01/21, 17:22",14,anonfirstname12 anonlastname12,-,Course: Introduction to Learning Analytics 2020/2021,Grader report,Grader report viewed,The user with id '14' viewed the grader report in the gradebook.
"4/01/21, 17:22",14,anonfirstname12 anonlastname12,anonfirstname12 anonlastname12,Course: Introduction to Learning Analytics 2020/2021,Single view,Grade single view report viewed.,The user with id '14' viewed the singleview report in the gradebook.
"4/01/21, 17:22",14,anonfirstname12 anonlastname12,-,Course: Introduction to Learning Analytics 2020/2021,Grader report,Grader report viewed,The user with id '14' viewed the grader report in the gradebook.
"4/01/21, 17:21",14,anonfirstname12 anonlastname12,anonfirstname60 anonlastname60,Course: Introduction to Learning Analytics 2020/2021,User report,Grade user report viewed,The user with id '14' viewed the user report in the gradebook.
"4/01/21, 17:20",14,anonfirstname12 anonlastname12,anonfirstname67 anonlastname67,Course: Introduction to Learning Analytics 2020/2021,User report,Grade user report viewed,The user with id '14' viewed the user report in the gradebook.
"4/01/21, 17:20",14,anonfirstname12 anonlastname12,-,Course: Introduction to Learning Analytics 2020/2021,Grader report,Grader report viewed,The user with id '14' viewed the grader report in the gradebook.
"4/01/21, 17:20",14,anonfirstname12 anonlastname12,anonfirstname12 anonlastname12,Course: Introduction to Learning Analytics 2020/2021,User report,Grade user report viewed,The user with id '14' viewed the user report in the gradebook.
"4/01/21, 17:20",14,anonfirstname12 anonlastname12,anonfirstname12 anonlastname12,Course: Introduction to Learning Analytics 2020/2021,Single view,Grade single view report viewed.,The user with id '14' viewed the singleview report in the gradebook.
"4/01/21, 17:20",75,anonfirstname73 anonlastname73,-,Course: Introduction to Learning Analytics 2020/2021,System,Course viewed,The user with id '75' viewed the course with id '6'.
"4/01/21, 17:18",14,anonfirstname12 anonlastname12,anonfirstname12 anonlastname12,Course: Introduction to Learning Analytics 2020/2021,Single view,Grade single view report viewed.,The user with id '14' viewed the singleview report in the gradebook.
"4/01/21, 17:18",14,anonfirstname12 anonlastname12,anonfirstname67 anonlastname67,Course: Introduction to Learning Analytics 2020/2021,User report,Grade user report viewed,The user with id '14' viewed the user report in the gradebook.
"4/01/21, 17:17",14,anonfirstname12 anonlastname12,-,Course: Introduction to Learning Analytics 2020/2021,Grader report,Grader report viewed,The user with id '14' viewed the grader report in the gradebook.
"4/01/21, 17:17",14,anonfirstname12 anonlastname12,-,Course: Introduction to Learning Analytics 2020/2021,Grader report,Grader report viewed,The user with id '14' viewed the grader report in the gradebook.
"4/01/21, 17:16",14,anonfirstname12 anonlastname12,anonfirstname12 anonlastname12,Course: Introduction to Learning Analytics 2020/2021,User report,Grade user report viewed,The user with id '14' viewed the user report in the gradebook.
"4/01/21, 17:16",62,anonfirstname60 anonlastname60,anonfirstname60 anonlastname60,Course: Introduction to Learning Analytics 2020/2021,System,Course user report viewed,The user with id '62' viewed the user report for the course with id '6' for user with id '62'.
"4/01/21, 17:16",14,anonfirstname12 anonlastname12,anonfirstname62 anonlastname62,Course: Introduction to Learning Analytics 2020/2021,User report,Grade user report viewed,The user with id '14' viewed the user report in the gradebook.
"4/01/21, 17:16",62,anonfirstname60 anonlastname60,-,Quiz: E-exam,Quiz,Course module viewed,The user with id '62' viewed the 'quiz' activity with course module id '212'.
"4/01/21, 17:16",14,anonfirstname12 anonlastname12,-,Course: Introduction to Learning Analytics 2020/2021,Grader report,Grader report viewed,The user with id '14' viewed the grader report in the gradebook.
"4/01/21, 17:16",62,anonfirstname60 anonlastname60,-,Course: Introduction to Learning Analytics 2020/2021,System,Course viewed,The user with id '62' viewed the course with id '6'.
"4/01/21, 17:15",14,anonfirstname12 anonlastname12,anonfirstname66 anonlastname66,Course: Introduction to Learning Analytics 2020/2021,User report,Grade user report viewed,The user with id '14' viewed the user report in the gradebook.
"4/01/21, 17:15",14,anonfirstname12 anonlastname12,-,Course: Introduction to Learning Analytics 2020/2021,Grader report,Grader report viewed,The user with id '14' viewed the grader report in the gradebook.
"4/01/21, 17:15",75,anonfirstname73 anonlastname73,anonfirstname73 anonlastname73,Course: Introduction to Learning Analytics 2020/2021,User report,Grade user report viewed,The user with id '75' viewed the user report in the gradebook.
"4/01/21, 17:15",75,anonfirstname73 anonlastname73,-,Course: Introduction to Learning Analytics 2020/2021,System,Course viewed,The user with id '75' viewed the course with id '6'.
"4/01/21, 17:15",14,anonfirstname12 anonlastname12,anonfirstname66 anonlastname66,Course: Introduction to Learning Analytics 2020/2021,User report,Grade user report viewed,The user with id '14' viewed the user report in the gradebook.
"4/01/21, 17:15",14,anonfirstname12 anonlastname12,-,Course: Introduction to Learning Analytics 2020/2021,Grader report,Grader report viewed,The user with id '14' viewed the grader report in the gradebook.
"4/01/21, 17:15",14,anonfirstname12 anonlastname12,-,Course: Introduction to Learning Analytics 2020/2021,Grader report,Grader report viewed,The user with id '14' viewed the grader report in the gradebook.
"4/01/21, 17:15",14,anonfirstname12 anonlastname12,-,Course: Introduction to Learning Analytics 2020/2021,Grader report,Grader report viewed,The user with id '14' viewed the grader report in the gradebook.
"4/01/21, 17:14",14,anonfirstname12 anonlastname12,-,Course: Introduction to Learning Analytics 2020/2021,Grader report,Grader report viewed,The user with id '14' viewed the grader report in the gradebook.
"4/01/21, 17:14",14,anonfirstname12 anonlastname12,anonfirstname12 anonlastname12,Course: Introduction to Learning Analytics 2020/2021,User report,Grade user report viewed,The user with id '14' viewed the user report in the gradebook.
"4/01/21, 17:13",14,anonfirstname12 anonlastname12,anonfirstname66 anonlastname66,Course: Introduction to Learning Analytics 2020/2021,User report,Grade user report viewed,The user with id '14' viewed the user report in the gradebook.
"4/01/21, 17:13",14,anonfirstname12 anonlastname12,-,Course: Introduction to Learning Analytics 2020/2021,Grader report,Grader report viewed,The user with id '14' viewed the grader report in the gradebook.
"4/01/21, 17:12",14,anonfirstname12 anonlastname12,-,Course: Introduction to Learning Analytics 2020/2021,Grader report,Grader report viewed,The user with id '14' viewed the grader report in the gradebook.
"4/01/21, 17:12",14,anonfirstname12 anonlastname12,anonfirstname12 anonlastname12,Course: Introduction to Learning Analytics 2020/2021,User report,Grade user report viewed,The user with id '14' viewed the user report in the gradebook.
"4/01/21, 17:12",14,anonfirstname12 anonlastname12,-,Course: Introduction to Learning Analytics 2020/2021,Grader report,Grader report viewed,The user with id '14' viewed the grader report in the gradebook.
"4/01/21, 17:12",14,anonfirstname12 anonlastname12,anonfirstname61 anonlastname61,Course: Introduction to Learning Analytics 2020/2021,User report,Grade user report viewed,The user with id '14' viewed the user report in the gradebook.
"4/01/21, 17:12",14,anonfirstname12 anonlastname12,anonfirstname61 anonlastname61,Course: Introduction to Learning Analytics 2020/2021,User report,Grade user report viewed,The user with id '14' viewed the user report in the gradebook.
